good_id,good,first_course,main_course,drink,bakery,dessert,snacks,salad,meat&fish
176.0,Сотэ из баклажан 200гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
177.0,Террин из свеклы 120гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
178.0,Тыква с медом 150гр,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0
179.0,Рыба жар/под маринадом 80/40гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
180.0,Рататуй с яблоками 200гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
181.0,Индейка/грибы/сыр 80/20гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
182.0,Морковь/груша/сметана 120гр,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0
183.0,Пирожок с рисом/яйцо,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
184.0,Тосты с грибной икрой 120гр,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
185.0,Говядина туш/черная фасоль 75/75гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
186.0,Суп вегетарианский 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
187.0,Суп-пюре из цв.кап 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
188.0,Говядина с соусом Ингвар 80/30гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
189.0,С-т из жар.груши/айсберг/фета 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
190.0,Свинина/с.кисло-сладкий 75/75гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
191.0,Суп-пюре сырный 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
192.0,Индейка/с.кокосовый 80/40гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
193.0,С-т Киноа/морковь/перец 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
194.0,Пудинг из шпината с сыром 200гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
195.0,Лазанья овощная 200гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
